"U(t) a t = 1.000000"
93	3.945510
94	3.477470
95	2.997154
96	2.506815
97	2.008840
98	1.505716


"U(t) a t = 20.000000"
0	1.058828
1	1.117726
2	1.176768
3	1.236021
4	1.295555
5	1.355436
6	1.415728
7	1.476492
8	1.537787
9	1.599665
10	1.662177
11	1.725368
12	1.789278
13	1.853941
14	1.919385
15	1.985634
16	2.052702
17	2.120598
18	2.189324
19	2.258874
20	2.329234
21	2.400382
22	2.472288
23	2.544915
24	2.618215
25	2.692132
26	2.766604
27	2.841556
28	2.916908
29	2.992569
30	3.068440
31	3.144415
32	3.220376
33	3.296202
34	3.371759
35	3.446909
36	3.521504
37	3.595390
38	3.668408
39	3.740389
40	3.811163
41	3.880550
42	3.948369
43	4.014432
44	4.078550
45	4.140529
46	4.200173
47	4.257286
48	4.311669
49	4.363124
50	4.411454
51	4.456463
52	4.497955
53	4.535741
54	4.569633
55	4.599448
56	4.625009
57	4.646144
58	4.662689
59	4.674486
60	4.681390
61	4.683260
62	4.679968
63	4.671396
64	4.657436
65	4.637995
66	4.612990
67	4.582354
68	4.546029
69	4.503976
70	4.456170
71	4.402597
72	4.343264
73	4.278189
74	4.207408
75	4.130973
76	4.048953
77	3.961429
78	3.868504
79	3.770291
80	3.666924
81	3.558549
82	3.445329
83	3.327442
84	3.205078
85	3.078444
86	2.947759
87	2.813255
88	2.675176
89	2.533778
90	2.389328
91	2.242100
92	2.092381
93	1.940463
94	1.786648
95	1.631242
96	1.474556
97	1.316908
98	1.158615


